symbol,expiry,strike,option_type,bid,ask,last,volume,open_interest,timestamp
SPX,20250919,6434.0,C,51.5,52.5,52.0,58,726,2025-08-27 20:56:59
SPX,20250919,6434.0,P,1.5000000000000004,2.5000000000000004,2.0000000000000004,73,528,2025-08-27 20:56:59
SPX,20250919,6439.0,C,46.5,47.5,47.0,13,120,2025-08-27 20:56:59
SPX,20250919,6439.0,P,1.5000000000000004,2.5000000000000004,2.0000000000000004,63,369,2025-08-27 20:56:59
SPX,20250919,6444.0,C,41.5,42.5,42.0,13,766,2025-08-27 20:56:59
SPX,20250919,6444.0,P,1.5000000000000004,2.5000000000000004,2.0000000000000004,73,306,2025-08-27 20:56:59
SPX,20250919,6449.0,C,36.5,37.5,37.0,68,844,2025-08-27 20:56:59
SPX,20250919,6449.0,P,1.5000000000000004,2.5000000000000004,2.0000000000000004,88,870,2025-08-27 20:56:59
SPX,20250919,6454.0,C,31.5,32.5,32.0,51,333,2025-08-27 20:56:59
SPX,20250919,6454.0,P,1.5000000000000004,2.5000000000000004,2.0000000000000004,19,763,2025-08-27 20:56:59
SPX,20250919,6459.0,C,26.5,27.5,27.0,57,316,2025-08-27 20:56:59
SPX,20250919,6459.0,P,1.5000000000000004,2.5000000000000004,2.0000000000000004,40,869,2025-08-27 20:56:59
SPX,20250919,6464.0,C,21.5,22.5,22.0,66,490,2025-08-27 20:56:59
SPX,20250919,6464.0,P,1.5000000000000004,2.5000000000000004,2.0000000000000004,83,510,2025-08-27 20:56:59
SPX,20250919,6469.0,C,16.5,17.5,17.0,35,571,2025-08-27 20:56:59
SPX,20250919,6469.0,P,1.5000000000000004,2.5000000000000004,2.0000000000000004,78,547,2025-08-27 20:56:59
SPX,20250919,6474.0,C,11.5,12.5,12.0,56,652,2025-08-27 20:56:59
SPX,20250919,6474.0,P,1.5000000000000004,2.5000000000000004,2.0000000000000004,35,354,2025-08-27 20:56:59
SPX,20250919,6479.0,C,6.5,7.5,7.0,33,107,2025-08-27 20:56:59
SPX,20250919,6479.0,P,1.5000000000000004,2.5000000000000004,2.0000000000000004,51,467,2025-08-27 20:56:59
SPX,20250919,6484.0,C,1.5000000000000004,2.5000000000000004,2.0000000000000004,81,239,2025-08-27 20:56:59
SPX,20250919,6484.0,P,1.5000000000000004,2.5000000000000004,2.0000000000000004,73,907,2025-08-27 20:56:59
SPX,20250919,6489.0,C,1.5000000000000004,2.5000000000000004,2.0000000000000004,25,350,2025-08-27 20:56:59
SPX,20250919,6489.0,P,6.5,7.5,7.0,52,122,2025-08-27 20:56:59
SPX,20250919,6494.0,C,1.5000000000000004,2.5000000000000004,2.0000000000000004,16,200,2025-08-27 20:56:59
SPX,20250919,6494.0,P,11.5,12.5,12.0,54,442,2025-08-27 20:56:59
SPX,20250919,6499.0,C,1.5000000000000004,2.5000000000000004,2.0000000000000004,88,929,2025-08-27 20:56:59
SPX,20250919,6499.0,P,16.5,17.5,17.0,53,680,2025-08-27 20:56:59
SPX,20250919,6504.0,C,1.5000000000000004,2.5000000000000004,2.0000000000000004,37,466,2025-08-27 20:56:59
SPX,20250919,6504.0,P,21.5,22.5,22.0,47,978,2025-08-27 20:56:59
SPX,20250919,6509.0,C,1.5000000000000004,2.5000000000000004,2.0000000000000004,83,327,2025-08-27 20:56:59
SPX,20250919,6509.0,P,26.5,27.5,27.0,54,763,2025-08-27 20:56:59
SPX,20250919,6514.0,C,1.5000000000000004,2.5000000000000004,2.0000000000000004,22,264,2025-08-27 20:56:59
SPX,20250919,6514.0,P,31.5,32.5,32.0,81,621,2025-08-27 20:56:59
SPX,20250919,6519.0,C,1.5000000000000004,2.5000000000000004,2.0000000000000004,22,327,2025-08-27 20:56:59
SPX,20250919,6519.0,P,36.5,37.5,37.0,44,605,2025-08-27 20:56:59
SPX,20250919,6524.0,C,1.5000000000000004,2.5000000000000004,2.0000000000000004,54,140,2025-08-27 20:56:59
SPX,20250919,6524.0,P,41.5,42.5,42.0,63,482,2025-08-27 20:56:59
SPX,20250919,6529.0,C,1.5000000000000004,2.5000000000000004,2.0000000000000004,34,788,2025-08-27 20:56:59
SPX,20250919,6529.0,P,46.5,47.5,47.0,96,150,2025-08-27 20:56:59
SPX,20250919,6534.0,C,1.5000000000000004,2.5000000000000004,2.0000000000000004,94,567,2025-08-27 20:56:59
SPX,20250919,6534.0,P,51.5,52.5,52.0,11,388,2025-08-27 20:56:59
